timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688656541189,421,Create User,200,OK,DB 2-5,text,true,,250,413,27,259,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,421,0,196
1688656541114,497,Create User,200,OK,DB 2-1,text,true,,250,413,27,259,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,497,0,238
1688656541171,445,Create User,200,OK,DB 2-4,text,true,,250,413,27,259,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,445,0,205
1688656541152,464,Create User,200,OK,DB 2-3,text,true,,250,413,27,259,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,464,0,208
1688656541133,484,Create User,200,OK,DB 2-2,text,true,,250,413,27,259,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,484,0,225
1688656541209,428,Create User,200,OK,DB 2-6,text,true,,250,413,29,271,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,428,0,207
1688656541227,439,Create User,200,OK,DB 2-7,text,true,,250,413,30,285,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,439,0,212
1688656541245,435,Create User,200,OK,DB 2-8,text,true,,250,413,31,292,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,435,0,210
1688656541263,436,Create User,200,OK,DB 2-9,text,true,,250,413,32,304,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,436,0,211
1688656541282,429,Create User,200,OK,DB 2-10,text,true,,250,413,33,309,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,429,0,206
1688656541301,435,Create User,200,OK,DB 2-11,text,true,,250,413,34,322,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,435,0,210
1688656541320,420,Create User,200,OK,DB 2-12,text,true,,250,413,34,325,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,420,0,202
1688656541356,437,Create User,200,OK,DB 2-14,text,true,,250,413,37,353,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,437,0,211
1688656541393,561,Create User,200,OK,DB 2-16,text,true,,250,413,46,435,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,561,0,211
1688656541375,601,Create User,200,OK,DB 2-15,text,true,,250,413,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,601,0,228
1688656541618,359,Create Magazine,200,OK,DB 2-4,text,true,,255,353,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,359,0,0
1688656541616,361,Create Magazine,200,OK,DB 2-1,text,true,,255,353,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,361,0,0
1688656541468,512,Create User,200,OK,DB 2-20,text,true,,250,413,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,512,0,197
1688656541430,551,Create User,200,OK,DB 2-18,text,true,,250,413,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,551,0,216
1688656541411,570,Create User,200,OK,DB 2-17,text,true,,250,413,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,570,0,212
1688656541637,344,Create Magazine,200,OK,DB 2-6,text,true,,255,353,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,344,0,0
1688656541618,363,Create Magazine,200,OK,DB 2-3,text,true,,255,353,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,363,0,0
1688656541619,362,Create Magazine,200,OK,DB 2-2,text,true,,255,353,47,445,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,362,0,0
1688656541736,245,Create Magazine,200,OK,DB 2-11,text,true,,255,353,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,245,0,0
1688656541740,241,Create Magazine,200,OK,DB 2-12,text,true,,255,353,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,241,0,0
1688656541542,441,Create User,200,OK,DB 2-24,text,true,,250,413,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,441,0,198
1688656541699,280,Create Magazine,200,OK,DB 2-9,text,true,,255,353,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,280,0,0
1688656541711,272,Create Magazine,200,OK,DB 2-10,text,true,,255,353,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,272,0,0
1688656541523,460,Create User,200,OK,DB 2-23,text,true,,250,413,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,460,0,195
1688656541680,304,Create Magazine,200,OK,DB 2-8,text,true,,255,353,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,304,0,0
1688656541486,498,Create User,200,OK,DB 2-21,text,true,,250,413,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,498,0,206
1688656541666,318,Create Magazine,200,OK,DB 2-7,text,true,,255,353,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_magazine,318,0,0
1688656541449,535,Create User,200,OK,DB 2-19,text,true,,250,413,47,446,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,535,0,215
1688656541597,417,Create User,200,OK,DB 2-27,text,true,,250,413,49,464,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,417,0,201
1688656541579,443,Create User,200,OK,DB 2-26,text,true,,250,413,50,468,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,443,0,214
