Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,310,943,500,1755,2433,4594,395,11830,0.000%,24.82582,17.46,3.83
/index.js,310,44511,28941,88130,168015,204651,3956,211951,14.839%,1.45634,196.34,0.19
/index.css,310,31065,23967,50711,74692,182276,1191,189625,3.226%,1.42662,263.94,0.22
/image3.jpg,310,29755,31668,51475,58086,69810,1192,75130,0.323%,1.47049,494.95,0.23
/image2.jpg,310,4504,2424,10231,13230,32258,396,45157,0.000%,1.57182,102.56,0.25
/image1.jpg,310,3956,2299,9136,11392,20487,394,34317,0.000%,1.60229,113.30,0.25
TOTAL,1860,19123,8005,45078,63197,179844,394,211951,3.065%,8.23428,1088.42,1.25
