Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,150,3048,2813,3728,4030,4908,2680,5007,0.000%,25.61475,8.45,3.93
TOTAL,150,3048,2813,3728,4030,4908,2680,5007,0.000%,25.61475,8.45,3.93
