Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,300,1441,1599,1791,2241,2415,504,2948,0.000%,78.06401,19.06,31.48
Create Magazine,300,1406,1329,1982,2098,4003,244,4075,0.000%,54.44646,13.56,18.77
Create Subscription,300,537,386,924,1226,1777,202,2779,0.000%,66.72598,16.88,28.67
"Get Subscriptions ""/""",300,664,214,1283,1472,4588,197,38381,0.000%,7.53504,5.30,1.12
"Get Subscriptions ""/index.css""",298,30879,26395,61884,68050,77120,3308,82556,7.047%,3.60701,641.16,0.53
"Get Subscriptions ""/index.js""",298,14011,13433,22396,26104,38874,1572,59151,0.000%,3.60047,569.14,0.56
"Get Subscriptions ""/subscriptions""",298,5275,4832,9348,10688,16028,619,19999,0.000%,3.66517,314.42,0.59
TOTAL,2094,7719,1647,22415,33596,66131,197,82556,1.003%,23.11513,1391.71,5.92
