timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1688658273505,429,/static,200,OK,Static 1-2,text,true,,720,158,25,232,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,429,utf-8,1,0,DESKTOP-JMD9GU4,0,220
1688658273487,450,/static,200,OK,Static 1-1,text,true,,720,158,25,232,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,450,utf-8,1,0,DESKTOP-JMD9GU4,0,240
1688658273543,417,/static,200,OK,Static 1-4,text,true,,720,158,26,243,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,417,utf-8,1,0,DESKTOP-JMD9GU4,0,207
1688658273524,438,/static,200,OK,Static 1-3,text,true,,720,158,26,245,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,438,utf-8,1,0,DESKTOP-JMD9GU4,0,216
1688658273580,394,/static,200,OK,Static 1-6,text,true,,720,158,27,251,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,394,utf-8,1,0,DESKTOP-JMD9GU4,0,197
1688658273561,420,/static,200,OK,Static 1-5,text,true,,720,158,27,254,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,420,utf-8,1,0,DESKTOP-JMD9GU4,0,207
1688658273599,427,/static,200,OK,Static 1-7,text,true,,720,158,30,277,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,427,utf-8,1,0,DESKTOP-JMD9GU4,0,212
1688658273618,418,/static,200,OK,Static 1-8,text,true,,720,158,30,278,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,418,utf-8,1,0,DESKTOP-JMD9GU4,0,206
1688658273635,405,/static,200,OK,Static 1-9,text,true,,720,158,30,280,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,405,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688658273655,406,/static,200,OK,Static 1-10,text,true,,720,158,31,291,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/static,,406,utf-8,1,0,DESKTOP-JMD9GU4,0,200
