Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,55,415,414,431,438,438,394,450,0.000%,38.92427,27.37,6.01
/index.js,55,8866,4170,16486,20213,38052,1645,65678,0.000%,.82998,131.20,0.13
/index.css,53,28984,23390,62135,65426,75242,2623,75500,1.887%,.66595,124.90,0.10
/image3.jpg,53,20351,21856,31271,33058,37128,3698,39076,0.000%,.70639,238.53,0.11
/image2.jpg,53,2262,1708,4219,4502,5397,416,7270,0.000%,1.11840,72.98,0.18
/image1.jpg,53,1877,1332,4020,4728,5660,404,6331,0.000%,1.20701,85.35,0.19
TOTAL,322,10387,3069,29053,37128,65678,394,75500,0.311%,3.72569,506.50,0.58
