Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,150,711,664,1020,1032,1084,409,1085,0.000%,76.10350,18.58,30.69
Create Magazine,150,480,412,815,848,947,214,1004,0.000%,62.68282,15.61,21.61
Create Subscription,150,403,296,822,857,1421,202,1544,0.000%,54.52563,13.79,23.43
"Get Subscriptions ""/""",150,375,211,775,819,4444,196,4448,0.000%,23.88915,16.80,3.55
"Get Subscriptions ""/index.css""",150,15495,14434,23915,26839,36916,4932,37944,0.000%,3.90401,746.18,0.61
"Get Subscriptions ""/index.js""",150,9612,9348,13858,15656,20939,1081,34808,0.000%,4.22511,667.88,0.66
"Get Subscriptions ""/subscriptions""",150,1940,1615,3325,4142,5321,220,5548,0.000%,4.89556,210.56,0.79
TOTAL,1050,4145,827,13277,16699,26611,196,37944,0.000%,24.15292,1358.31,6.21
