Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,50,431,426,472,476,489,396,489,0.000%,34.43526,24.21,5.31
/index.js,50,7408,6133,12402,13573,20565,2386,20565,0.000%,2.33634,369.32,0.37
/index.css,50,13228,12616,18453,21276,22651,4146,22651,0.000%,1.68271,321.62,0.26
/image3.jpg,50,12358,12397,17539,17584,23006,6135,23006,0.000%,1.73792,586.85,0.27
/image2.jpg,50,1236,1024,1734,2707,4291,411,4291,0.000%,2.55193,166.52,0.40
/image1.jpg,50,1061,872,1443,2159,3970,402,3970,0.000%,2.81897,199.33,0.45
TOTAL,300,5953,2987,14917,17462,22588,396,23006,0.000%,7.42097,1018.58,1.17
