Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,300,21865,2889,60415,60421,60427,2678,60431,31.000%,4.88520,1.54,0.75
TOTAL,300,21865,2889,60415,60421,60427,2678,60431,31.000%,4.88520,1.54,0.75
