Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,150,856,697,1427,1572,4021,407,5952,0.000%,22.02967,5.38,8.89
Create Magazine,150,599,266,1214,1493,2204,210,4896,0.000%,22.98851,5.72,7.92
Create Subscription,150,525,223,981,1456,2732,202,2766,0.000%,23.03086,5.83,9.90
"Get Subscriptions ""/""",150,516,213,1237,1342,2493,197,3648,0.000%,21.89781,15.40,3.25
"Get Subscriptions ""/index.css""",150,46286,38738,78585,121762,191061,6000,199585,12.000%,.74363,125.21,0.10
"Get Subscriptions ""/index.js""",150,25100,18030,43854,61844,180227,1358,183872,4.000%,.72487,110.04,0.11
"Get Subscriptions ""/subscriptions""",150,3333,2394,6891,8642,17298,423,17511,0.000%,.74836,32.19,0.12
TOTAL,1050,11031,873,33007,53546,136336,197,199585,2.286%,4.86161,253.25,1.23
