Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,300,689,426,1650,1691,2940,393,3059,0.000%,76.88365,54.06,11.86
/index.js,300,54926,34217,151585,198721,203296,2378,207249,22.333%,1.43862,177.07,0.17
/index.css,300,24590,17602,43966,65393,177091,1402,192034,3.333%,1.42711,263.74,0.22
/image3.jpg,300,22706,21076,36721,42824,83612,1373,182838,1.333%,1.43828,479.22,0.22
/image2.jpg,300,2870,2372,5491,6753,12744,396,23547,0.000%,1.57843,102.99,0.25
/image1.jpg,300,3210,2471,6528,8307,16584,395,21116,0.000%,1.60954,113.81,0.25
TOTAL,1800,18165,4870,43222,70952,195976,393,207249,4.500%,8.31286,1077.55,1.25
