Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,50,3001,2741,3449,3716,4044,2680,4044,0.000%,10.63830,3.51,1.63
TOTAL,50,3001,2741,3449,3716,4044,2680,4044,0.000%,10.63830,3.51,1.63
