Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,310,567,426,1045,1115,1744,394,3086,0.000%,81.36483,57.21,12.55
/index.js,306,62373,33482,193295,199885,213948,3833,236177,23.529%,1.29481,156.95,0.15
/index.css,305,32207,25209,58176,82849,191356,1376,194783,3.934%,1.30664,239.99,0.20
/image3.jpg,302,38901,35061,70751,90073,182759,1216,200805,3.642%,1.35366,440.52,0.21
/image2.jpg,301,5089,2366,9606,14746,69873,395,87536,0.000%,1.49613,97.62,0.24
/image1.jpg,301,4694,2475,11613,13699,25934,396,43256,0.000%,1.51924,107.42,0.24
TOTAL,1825,23988,7510,58163,90991,195985,394,236177,5.205%,7.67232,977.56,1.14
