Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,160,688,479,1418,1470,2445,408,3012,0.000%,41.06776,10.03,16.56
Create Magazine,160,357,246,900,933,966,208,987,0.000%,43.93191,10.94,15.14
Create Subscription,160,367,216,867,883,1479,203,4703,0.000%,25.08230,6.34,10.78
"Get Subscriptions ""/""",160,483,213,851,1422,2526,198,5037,0.000%,22.79527,16.03,3.38
"Get Subscriptions ""/index.css""",158,57697,32919,155298,192045,199346,4238,216027,15.190%,.72190,117.18,0.10
"Get Subscriptions ""/index.js""",158,28238,19343,51901,76316,181706,1216,197542,3.797%,.73160,111.30,0.11
"Get Subscriptions ""/subscriptions""",158,6407,3539,12391,19133,30714,404,181844,0.633%,.75320,34.33,0.12
TOTAL,1114,13369,839,34098,62819,191890,198,216027,2.783%,4.95739,254.17,1.26
