Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,50,2929,2766,3509,3707,3756,2676,3756,0.000%,10.61121,3.50,1.63
TOTAL,50,2929,2766,3509,3707,3756,2676,3756,0.000%,10.61121,3.50,1.63
