timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688655277254,459,Create User,200,OK,DB 2-2,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,459,0,202
1688655277260,461,Create User,200,OK,DB 2-3,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,461,0,208
1688655277266,455,Create User,200,OK,DB 2-4,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,455,0,202
1688655277249,472,Create User,200,OK,DB 2-1,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,472,0,211
1688655277291,439,Create User,200,OK,DB 2-8,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,439,0,202
1688655277285,437,Create User,200,OK,DB 2-7,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,437,0,207
1688655277297,434,Create User,200,OK,DB 2-9,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,434,0,202
1688655277279,452,Create User,200,OK,DB 2-6,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,452,0,207
1688655277273,458,Create User,200,OK,DB 2-5,text,true,,250,413,123,400,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,458,0,206
1688655277303,430,Create User,200,OK,DB 2-10,text,true,,250,413,125,404,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,430,0,206
1688655277315,420,Create User,200,OK,DB 2-12,text,true,,250,413,125,406,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,420,0,201
1688655277327,408,Create User,200,OK,DB 2-14,text,true,,250,413,125,406,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,408,0,197
1688655277309,437,Create User,200,OK,DB 2-11,text,true,,250,413,127,412,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,437,0,211
1688655277346,411,Create User,200,OK,DB 2-17,text,true,,250,413,129,418,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,411,0,197
1688655277340,418,Create User,200,OK,DB 2-16,text,true,,250,413,129,419,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,418,0,200
1688655277334,426,Create User,200,OK,DB 2-15,text,true,,250,413,129,419,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,426,0,204
1688655277321,440,Create User,200,OK,DB 2-13,text,true,,250,413,129,419,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,440,0,211
1688655277359,409,Create User,200,OK,DB 2-19,text,true,,250,413,131,424,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,409,0,197
1688655277365,417,Create User,200,OK,DB 2-20,text,true,,250,413,133,431,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,417,0,201
1688655277352,438,Create User,200,OK,DB 2-18,text,true,,250,413,134,435,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,438,0,211
1688655277378,446,Create User,200,OK,DB 2-22,text,true,,250,413,140,453,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,446,0,204
1688655277391,433,Create User,200,OK,DB 2-24,text,true,,250,413,140,453,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,433,0,199
1688655277372,453,Create User,200,OK,DB 2-21,text,true,,250,413,140,454,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,453,0,213
1688655277403,422,Create User,200,OK,DB 2-26,text,true,,250,413,140,454,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,422,0,197
1688655277397,428,Create User,200,OK,DB 2-25,text,true,,250,413,140,454,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,428,0,207
1688655277389,436,Create User,200,OK,DB 2-23,text,true,,250,413,140,454,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,436,0,210
1688655277423,465,Create User,200,OK,DB 2-29,text,true,,250,413,150,488,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,465,0,232
1688655277416,484,Create User,200,OK,DB 2-28,text,true,,250,413,152,495,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,484,0,240
1688655277429,472,Create User,200,OK,DB 2-30,text,true,,250,413,152,495,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,472,0,227
1688655277471,432,Create User,200,OK,DB 2-37,text,true,,250,413,153,497,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,432,0,196
1688655277453,452,Create User,200,OK,DB 2-34,text,true,,250,413,153,497,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,452,0,207
1688655277409,497,Create User,200,OK,DB 2-27,text,true,,250,413,153,497,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,497,0,247
1688655277435,473,Create User,200,OK,DB 2-31,text,true,,250,413,153,498,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,473,0,221
1688655277441,467,Create User,200,OK,DB 2-32,text,true,,250,413,153,498,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,467,0,218
1688655277447,465,Create User,200,OK,DB 2-33,text,true,,250,413,154,501,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,465,0,217
1688655277465,447,Create User,200,OK,DB 2-36,text,true,,250,413,154,501,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,447,0,207
1688655277484,431,Create User,200,OK,DB 2-39,text,true,,250,413,154,502,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,431,0,196
1688655277459,461,Create User,200,OK,DB 2-35,text,true,,250,413,155,504,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,461,0,217
1688655277490,439,Create User,200,OK,DB 2-40,text,true,,250,413,156,508,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,439,0,204
1688655277504,425,Create User,200,OK,DB 2-42,text,true,,250,413,157,510,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,425,0,200
1688655277478,453,Create User,200,OK,DB 2-38,text,true,,250,413,157,510,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,453,0,205
1688655277497,439,Create User,200,OK,DB 2-41,text,true,,250,413,158,513,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,439,0,207
1688655277510,442,Create User,200,OK,DB 2-43,text,true,,250,413,159,517,http://fargatelb-459321754.us-east-1.elb.amazonaws.com/create_user,442,0,212
