Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,155,478,434,533,561,1193,394,1811,0.000%,55.71531,39.17,8.60
/index.js,155,13314,12689,20716,26061,31766,2938,55533,0.000%,2.78132,439.65,0.43
/index.css,155,13101,12719,18069,19962,23496,1857,30083,0.000%,2.84560,543.88,0.45
/image3.jpg,155,16664,16780,21826,23100,25505,1440,27674,0.000%,3.08605,1042.08,0.49
/image2.jpg,155,2268,2030,3629,4560,5219,414,17377,0.000%,4.07038,265.60,0.64
/image1.jpg,155,2091,1716,3832,4271,5040,416,6779,0.000%,4.30532,304.42,0.68
TOTAL,930,7986,4830,18545,20945,27008,394,55533,0.000%,15.41803,2116.24,2.42
