Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,55,484,446,531,558,1171,404,1208,0.000%,26.94757,6.58,10.87
Create Magazine,55,305,230,340,847,957,208,1424,0.000%,24.41190,6.08,8.42
Create Subscription,55,311,225,362,801,853,203,1048,0.000%,24.60850,6.22,10.57
"Get Subscriptions ""/""",55,403,215,786,871,1349,197,1920,0.000%,18.05647,12.70,2.68
"Get Subscriptions ""/index.css""",54,14681,13830,21111,23912,24554,3899,33132,0.000%,1.62935,311.42,0.26
"Get Subscriptions ""/index.js""",53,11135,11025,15579,17862,21173,4688,22779,0.000%,1.40755,222.50,0.22
"Get Subscriptions ""/subscriptions""",53,1156,811,2291,2415,3318,413,5129,0.000%,1.66562,26.52,0.27
TOTAL,380,4018,486,13783,17862,22914,197,33132,0.000%,8.57846,442.98,2.22
