Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,50,2894,2752,3402,3454,4107,2679,4107,0.000%,11.27396,3.72,1.73
TOTAL,50,2894,2752,3402,3454,4107,2679,4107,0.000%,11.27396,3.72,1.73
