Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,155,495,421,451,1049,1085,393,2975,0.000%,39.83552,28.01,6.15
/index.js,152,30215,20729,72101,78840,136679,2718,149334,11.184%,1.01435,142.56,0.14
/index.css,150,23148,20804,44923,49323,75276,2579,79334,1.333%,1.00217,189.01,0.16
/image3.jpg,150,21014,21613,33273,37529,50197,2079,62145,0.000%,1.06384,359.23,0.17
/image2.jpg,150,2202,1660,4133,5009,10570,397,18816,0.000%,1.23759,80.75,0.20
/image1.jpg,150,2143,1517,4225,5138,6788,396,10352,0.000%,1.29177,91.34,0.20
TOTAL,907,13170,4039,32621,45391,78840,393,149334,2.095%,5.81697,774.78,0.89
