Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,310,1508,1635,1869,2414,2575,510,3101,0.000%,85.23508,20.81,34.38
Create Magazine,310,1369,1323,1748,1871,2719,548,5119,0.000%,37.74504,9.40,13.01
Create Subscription,310,622,404,1004,1596,1940,202,5597,0.000%,43.35058,10.96,18.63
"Get Subscriptions ""/""",310,447,213,844,1360,2112,196,4671,0.000%,42.14247,29.63,6.26
"Get Subscriptions ""/index.css""",310,43916,31044,76589,179200,192949,5013,194906,10.968%,1.57628,268.48,0.22
"Get Subscriptions ""/index.js""",310,16047,14420,24834,35828,67659,1373,176564,0.645%,1.62085,254.58,0.25
"Get Subscriptions ""/subscriptions""",310,6303,5488,11016,12525,31360,604,59630,0.000%,1.70516,151.14,0.27
TOTAL,2170,10030,1633,26854,41117,90579,196,194906,1.659%,10.75567,641.46,2.74
